2026-06-17 17:37:51,122 loss=0.142045
2026-06-17 17:37:51,471 loss=0.118707
2026-06-17 17:37:51,798 loss=0.109272
2026-06-17 17:37:52,133 loss=0.095087
2026-06-17 17:37:52,463 loss=0.092823
2026-06-17 17:37:52,790 loss=0.091911
2026-06-17 17:37:53,122 loss=0.088329
2026-06-17 17:37:53,463 loss=0.082818
2026-06-17 17:37:53,792 loss=0.080801
2026-06-17 17:37:54,131 loss=0.078902
2026-06-17 17:37:54,501 loss=0.078654
2026-06-17 17:37:54,888 loss=0.073632
2026-06-17 17:37:55,288 loss=0.075028
2026-06-17 17:37:55,699 loss=0.077545
2026-06-17 17:37:56,090 loss=0.073793
2026-06-17 17:37:56,455 loss=0.073095
2026-06-17 17:37:56,809 loss=0.074335
2026-06-17 17:37:57,182 loss=0.072793
2026-06-17 17:37:57,554 loss=0.071495
2026-06-17 17:37:57,899 loss=0.073742
2026-06-17 17:37:58,328 loss=0.070052
2026-06-17 17:37:58,730 loss=0.068074
2026-06-17 17:37:59,124 loss=0.068918
2026-06-17 17:37:59,491 loss=0.069888
2026-06-17 17:37:59,841 loss=0.073572
2026-06-17 17:38:00,184 loss=0.073655
2026-06-17 17:38:00,530 loss=0.072116
2026-06-17 17:38:00,873 loss=0.071276
2026-06-17 17:38:01,223 loss=0.068250
2026-06-17 17:38:01,570 loss=0.068916
2026-06-17 17:38:01,920 loss=0.063456
2026-06-17 17:38:02,276 loss=0.069854
2026-06-17 17:38:02,632 loss=0.069937
2026-06-17 17:38:02,972 loss=0.068969
2026-06-17 17:38:03,311 loss=0.070862
2026-06-17 17:38:03,645 loss=0.068495
2026-06-17 17:38:03,989 loss=0.067750
2026-06-17 17:38:04,337 loss=0.068040
2026-06-17 17:38:04,684 loss=0.070951
2026-06-17 17:38:05,032 loss=0.071381
2026-06-17 17:38:05,438 loss=0.070687
2026-06-17 17:38:05,811 loss=0.073169
2026-06-17 17:38:06,141 loss=0.074580
2026-06-17 17:38:06,477 loss=0.069824
2026-06-17 17:38:06,821 loss=0.068690
2026-06-17 17:38:07,163 loss=0.068960
2026-06-17 17:38:07,586 loss=0.067375
2026-06-17 17:38:08,000 loss=0.067800
2026-06-17 17:38:08,362 loss=0.071379
2026-06-17 17:38:08,743 loss=0.074129
2026-06-17 17:38:09,163 loss=0.068441
2026-06-17 17:38:09,523 loss=0.068176
2026-06-17 17:38:09,858 loss=0.072803
2026-06-17 17:38:10,196 loss=0.068359
2026-06-17 17:38:10,535 loss=0.070678
2026-06-17 17:38:10,869 loss=0.071372
2026-06-17 17:38:11,207 loss=0.074091
2026-06-17 17:38:11,552 loss=0.069795
2026-06-17 17:38:11,895 loss=0.068312
2026-06-17 17:38:12,240 loss=0.069048
2026-06-17 17:38:12,691 loss=0.068124
2026-06-17 17:38:13,082 loss=0.071039
2026-06-17 17:38:13,497 loss=0.071785
2026-06-17 17:38:13,907 loss=0.070950
2026-06-17 17:38:14,314 loss=0.069488
2026-06-17 17:38:14,725 loss=0.066286
2026-06-17 17:38:15,118 loss=0.072412
2026-06-17 17:38:15,467 loss=0.073721
2026-06-17 17:38:15,800 loss=0.070240
2026-06-17 17:38:16,165 loss=0.066050
2026-06-17 17:38:16,562 loss=0.072643
2026-06-17 17:38:16,947 loss=0.075872
2026-06-17 17:38:17,312 loss=0.067208
2026-06-17 17:38:17,693 loss=0.072116
2026-06-17 17:38:18,126 loss=0.071127
2026-06-17 17:38:18,478 loss=0.067705
2026-06-17 17:38:18,848 loss=0.068627
2026-06-17 17:38:19,199 loss=0.072590
2026-06-17 17:38:19,561 loss=0.070567
2026-06-17 17:38:19,891 loss=0.067388
2026-06-17 17:38:20,339 loss=0.069127
2026-06-17 17:38:20,747 loss=0.069668
2026-06-17 17:38:21,157 loss=0.071980
2026-06-17 17:38:21,513 loss=0.069005
2026-06-17 17:38:21,860 loss=0.070949
2026-06-17 17:38:22,213 loss=0.074751
2026-06-17 17:38:22,559 loss=0.068376
2026-06-17 17:38:22,909 loss=0.071570
2026-06-17 17:38:23,263 loss=0.070402
2026-06-17 17:38:23,617 loss=0.074229
2026-06-17 17:38:23,970 loss=0.069105
2026-06-17 17:38:24,307 loss=0.074019
2026-06-17 17:38:24,659 loss=0.071331
2026-06-17 17:38:25,016 loss=0.070805
2026-06-17 17:38:25,369 loss=0.072527
2026-06-17 17:38:25,729 loss=0.071496
2026-06-17 17:38:26,083 loss=0.070125
2026-06-17 17:38:26,437 loss=0.070055
2026-06-17 17:38:26,791 loss=0.070736
2026-06-17 17:38:27,141 loss=0.071262
2026-06-17 17:38:27,617 loss=0.072761
2026-06-17 17:38:27,968 loss=0.071316
2026-06-17 17:38:28,300 loss=0.073181
2026-06-17 17:38:28,632 loss=0.072994
2026-06-17 17:38:28,992 loss=0.066629
2026-06-17 17:38:29,329 loss=0.072636
2026-06-17 17:38:29,708 loss=0.071177
2026-06-17 17:38:30,101 loss=0.071774
2026-06-17 17:38:30,492 loss=0.067979
2026-06-17 17:38:30,883 loss=0.069707
2026-06-17 17:38:31,212 loss=0.070944
2026-06-17 17:38:31,550 loss=0.071691
2026-06-17 17:38:31,893 loss=0.067208
2026-06-17 17:38:32,235 loss=0.072226
2026-06-17 17:38:32,586 loss=0.072476
2026-06-17 17:38:32,947 loss=0.069450
2026-06-17 17:38:33,343 loss=0.066685
2026-06-17 17:38:33,737 loss=0.069488
2026-06-17 17:38:34,147 loss=0.068132
2026-06-17 17:38:34,504 loss=0.074542
2026-06-17 17:38:34,955 loss=0.071384
2026-06-17 17:38:35,306 loss=0.072834
2026-06-17 17:38:35,636 loss=0.067813
2026-06-17 17:38:35,983 loss=0.068766
2026-06-17 17:38:36,321 loss=0.067080
2026-06-17 17:38:36,658 loss=0.069888
2026-06-17 17:38:36,997 loss=0.069475
2026-06-17 17:38:37,351 loss=0.069754
2026-06-17 17:38:37,696 loss=0.070228
2026-06-17 17:38:38,038 loss=0.068270
2026-06-17 17:38:38,384 loss=0.067204
2026-06-17 17:38:38,724 loss=0.075946
2026-06-17 17:38:39,106 loss=0.071001
2026-06-17 17:38:39,518 loss=0.070169
2026-06-17 17:38:39,876 loss=0.069535
2026-06-17 17:38:40,231 loss=0.075480
2026-06-17 17:38:40,572 loss=0.070196
2026-06-17 17:38:40,921 loss=0.069172
2026-06-17 17:38:41,256 loss=0.069056
2026-06-17 17:38:41,592 loss=0.067665
2026-06-17 17:38:42,000 loss=0.070440
2026-06-17 17:38:42,355 loss=0.069940
2026-06-17 17:38:42,697 loss=0.068032
2026-06-17 17:38:43,048 loss=0.067879
2026-06-17 17:38:43,400 loss=0.072081
2026-06-17 17:38:43,767 loss=0.071816
2026-06-17 17:38:44,160 loss=0.066084
2026-06-17 17:38:44,564 loss=0.066568
2026-06-17 17:38:44,985 loss=0.069479
2026-06-17 17:38:45,351 loss=0.066482
2026-06-17 17:38:45,698 loss=0.067301
2026-06-17 17:38:46,041 loss=0.069227
2026-06-17 17:38:46,384 loss=0.067682
2026-06-17 17:38:46,756 loss=0.068028
2026-06-17 17:38:47,165 loss=0.068693
2026-06-17 17:38:47,525 loss=0.072860
2026-06-17 17:38:47,877 loss=0.070118
2026-06-17 17:38:48,224 loss=0.068078
2026-06-17 17:38:48,570 loss=0.070440
2026-06-17 17:38:48,922 loss=0.070372
2026-06-17 17:38:49,328 loss=0.068651
2026-06-17 17:38:49,687 loss=0.068794
2026-06-17 17:38:50,044 loss=0.070641
2026-06-17 17:38:50,379 loss=0.065710
2026-06-17 17:38:50,709 loss=0.073520
2026-06-17 17:38:51,045 loss=0.068408
2026-06-17 17:38:51,379 loss=0.070967
2026-06-17 17:38:51,790 loss=0.070196
2026-06-17 17:38:52,160 loss=0.067338
2026-06-17 17:38:52,523 loss=0.067346
2026-06-17 17:38:52,854 loss=0.073069
2026-06-17 17:38:53,189 loss=0.072548
2026-06-17 17:38:53,525 loss=0.073438
2026-06-17 17:38:53,886 loss=0.071436
2026-06-17 17:38:54,288 loss=0.072101
2026-06-17 17:38:54,704 loss=0.069288
2026-06-17 17:38:55,063 loss=0.068739
2026-06-17 17:38:55,403 loss=0.069975
2026-06-17 17:38:55,737 loss=0.071000
2026-06-17 17:38:56,076 loss=0.072152
2026-06-17 17:38:56,458 loss=0.069264
2026-06-17 17:38:56,792 loss=0.070667
2026-06-17 17:38:57,141 loss=0.066342
2026-06-17 17:38:57,521 loss=0.071118
2026-06-17 17:38:57,871 loss=0.065071
2026-06-17 17:38:58,206 loss=0.065705
2026-06-17 17:38:58,538 loss=0.068213
2026-06-17 17:38:58,917 loss=0.070239
2026-06-17 17:38:59,320 loss=0.066054
2026-06-17 17:38:59,712 loss=0.069117
2026-06-17 17:39:00,061 loss=0.064461
2026-06-17 17:39:00,401 loss=0.071136
2026-06-17 17:39:00,729 loss=0.068576
2026-06-17 17:39:01,063 loss=0.070864
2026-06-17 17:39:01,398 loss=0.069913
2026-06-17 17:39:01,731 loss=0.067566
2026-06-17 17:39:02,070 loss=0.068331
2026-06-17 17:39:02,416 loss=0.068769
2026-06-17 17:39:02,746 loss=0.072266
2026-06-17 17:39:03,079 loss=0.070967
2026-06-17 17:39:03,455 loss=0.070395
2026-06-17 17:39:03,781 loss=0.070032
2026-06-17 17:39:04,111 loss=0.071559
2026-06-17 17:39:04,444 loss=0.070850
2026-06-17 17:39:04,784 loss=0.073005
2026-06-17 17:39:05,121 loss=0.073264
2026-06-17 17:39:05,450 loss=0.067471
2026-06-17 17:39:05,791 loss=0.070057
2026-06-17 17:39:06,120 loss=0.072148
2026-06-17 17:39:06,457 loss=0.070059
2026-06-17 17:39:06,819 loss=0.066358
2026-06-17 17:39:07,222 loss=0.071388
2026-06-17 17:39:07,581 loss=0.069342
2026-06-17 17:39:07,912 loss=0.070694
2026-06-17 17:39:08,240 loss=0.069215
2026-06-17 17:39:08,579 loss=0.071540
2026-06-17 17:39:08,904 loss=0.065750
2026-06-17 17:39:09,281 loss=0.068226
2026-06-17 17:39:09,624 loss=0.067399
2026-06-17 17:39:09,965 loss=0.065872
2026-06-17 17:39:10,340 loss=0.067359
2026-06-17 17:39:10,678 loss=0.070620
2026-06-17 17:39:11,008 loss=0.069296
2026-06-17 17:39:11,357 loss=0.068007
2026-06-17 17:39:11,715 loss=0.071001
2026-06-17 17:39:12,065 loss=0.069294
2026-06-17 17:39:12,394 loss=0.068231
2026-06-17 17:39:12,731 loss=0.069878
2026-06-17 17:39:13,081 loss=0.070030
2026-06-17 17:39:13,413 loss=0.069154
2026-06-17 17:39:13,746 loss=0.069166
2026-06-17 17:39:14,094 loss=0.068322
2026-06-17 17:39:14,452 loss=0.068572
2026-06-17 17:39:14,816 loss=0.068290
2026-06-17 17:39:15,208 loss=0.069628
2026-06-17 17:39:15,628 loss=0.069143
2026-06-17 17:39:16,008 loss=0.071357
2026-06-17 17:39:16,365 loss=0.068785
2026-06-17 17:39:16,709 loss=0.068460
2026-06-17 17:39:17,072 loss=0.068350
2026-06-17 17:39:17,465 loss=0.067941
2026-06-17 17:39:17,813 loss=0.066431
2026-06-17 17:39:18,159 loss=0.067905
2026-06-17 17:39:18,509 loss=0.069917
2026-06-17 17:39:18,848 loss=0.068100
2026-06-17 17:39:19,241 loss=0.070933
2026-06-17 17:39:19,611 loss=0.068152
2026-06-17 17:39:19,959 loss=0.066435
2026-06-17 17:39:20,301 loss=0.064781
2026-06-17 17:39:20,630 loss=0.065845
2026-06-17 17:39:20,980 loss=0.069222
2026-06-17 17:39:21,320 loss=0.069265
2026-06-17 17:39:21,653 loss=0.069927
2026-06-17 17:39:21,995 loss=0.072729
2026-06-17 17:39:22,323 loss=0.068848
2026-06-17 17:39:22,653 loss=0.068926
2026-06-17 17:39:22,988 loss=0.069050
2026-06-17 17:39:23,327 loss=0.069477
2026-06-17 17:39:23,682 loss=0.070795
2026-06-17 17:39:24,077 loss=0.070357
2026-06-17 17:39:24,466 loss=0.068639
2026-06-17 17:39:24,812 loss=0.073572
2026-06-17 17:39:25,168 loss=0.071771
2026-06-17 17:39:25,519 loss=0.071671
2026-06-17 17:39:25,861 loss=0.069683
2026-06-17 17:39:26,189 loss=0.069702
2026-06-17 17:39:26,525 loss=0.068457
2026-06-17 17:39:26,899 loss=0.072781
2026-06-17 17:39:27,277 loss=0.070721
2026-06-17 17:39:27,666 loss=0.066918
2026-06-17 17:39:28,038 loss=0.067944
2026-06-17 17:39:28,375 loss=0.068799
2026-06-17 17:39:28,705 loss=0.069388
2026-06-17 17:39:29,047 loss=0.066911
2026-06-17 17:39:29,394 loss=0.068375
2026-06-17 17:39:29,741 loss=0.069513
2026-06-17 17:39:30,070 loss=0.069152
2026-06-17 17:39:30,396 loss=0.069664
2026-06-17 17:39:30,732 loss=0.065311
2026-06-17 17:39:31,062 loss=0.070401
2026-06-17 17:39:31,465 loss=0.065604
2026-06-17 17:39:31,800 loss=0.067286
2026-06-17 17:39:32,128 loss=0.064713
2026-06-17 17:39:32,464 loss=0.069361
2026-06-17 17:39:32,806 loss=0.067328
2026-06-17 17:39:33,136 loss=0.071212
2026-06-17 17:39:33,468 loss=0.067930
2026-06-17 17:39:33,806 loss=0.070842
2026-06-17 17:39:34,142 loss=0.069415
2026-06-17 17:39:34,475 loss=0.067811
2026-06-17 17:39:34,809 loss=0.067392
2026-06-17 17:39:35,139 loss=0.065948
2026-06-17 17:39:35,482 loss=0.067559
2026-06-17 17:39:35,815 loss=0.066653
2026-06-17 17:39:36,160 loss=0.068666
2026-06-17 17:39:36,491 loss=0.069089
2026-06-17 17:39:36,850 loss=0.067836
2026-06-17 17:39:37,198 loss=0.070215
2026-06-17 17:39:37,579 loss=0.067343
2026-06-17 17:39:37,984 loss=0.065220
2026-06-17 17:39:38,388 loss=0.069899
2026-06-17 17:39:38,752 loss=0.069728
2026-06-17 17:39:39,124 loss=0.066584
2026-06-17 17:39:39,524 loss=0.067917
2026-06-17 17:39:39,920 loss=0.066596
2026-06-17 17:39:40,309 loss=0.066342
2026-06-17 17:39:40,659 loss=0.068673
2026-06-17 17:39:41,016 loss=0.066774
2026-06-17 17:39:41,344 loss=0.067045
2026-06-17 17:39:41,690 loss=0.068472
2026-06-17 17:39:42,035 loss=0.064126
2026-06-17 17:39:42,360 loss=0.065002
